R,E,G
8,1,0.0
8,2,0.0
8,3,0.0
8,4,0.0
8,5,0.0
8,6,0.0
8,7,0.0
8,8,0.0
8,9,0.0
8,10,0.0
8,11,0.0
8,12,0.0
8,13,0.0
8,14,0.01
8,15,0.01
8,16,0.02
8,17,0.04
8,18,0.07
8,19,0.12
8,20,0.2
8,21,0.36
8,22,0.51
8,23,0.89
8,24,2.95
8,25,4.95
8,26,5.23
8,27,5.51
8,28,5.93
8,29,6.66
8,30,7.5
8,31,8.57
8,32,10.15
8,33,11.99
8,34,14.11
8,35,16.65
8,36,19.15
8,37,23.46
8,38,26.12
8,39,29.3
8,40,32.32
8,41,35.71
8,42,39.22
8,43,43.28
8,44,46.79
8,45,50.14
8,46,53.44
8,47,57.03
8,48,60.43
8,49,65.76
8,50,67.92
8,51,70.76
8,52,72.8
8,53,75.09
8,54,77.48
8,55,80.22
8,56,82.05
8,57,83.67
8,58,85.21
8,59,86.91
8,60,88.38
8,61,90.95
8,62,91.6
8,63,92.54
8,64,93.12
8,65,93.78
8,66,94.64
8,67,95.54
8,68,96.04
8,69,96.48
8,70,96.87
8,71,97.33
8,72,97.77
8,73,98.41
8,74,98.52
8,75,98.71
8,76,98.82
8,77,98.94
8,78,99.13
8,79,99.32
8,80,99.4
8,81,99.47
8,82,99.54
8,83,99.61
8,84,99.69
8,85,99.8
8,86,99.82
8,87,99.84
8,88,99.85
8,89,99.87
8,90,99.9
8,91,99.92
8,92,99.93
8,93,99.93
8,94,99.94
8,95,99.95
8,96,99.95
8,97,99.97
8,98,99.97
8,99,99.97
8,100,99.97
7,1,0.0
7,2,0.0
7,3,0.0
7,4,0.0
7,5,0.0
7,6,0.0
7,7,0.0
7,8,0.0
7,9,0.0
7,10,0.0
7,11,0.01
7,12,0.03
7,13,0.05
7,14,0.12
7,15,0.18
7,16,0.29
7,17,0.46
7,18,0.69
7,19,1.06
7,20,1.54
7,21,2.17
7,22,3.0
7,23,4.05
7,24,5.3
7,25,7.79
7,26,9.74
7,27,11.77
7,28,14.01
7,29,16.62
7,30,19.48
7,31,23.26
7,32,26.58
7,33,30.19
7,34,33.81
7,35,37.74
7,36,41.25
7,37,48.09
7,38,51.25
7,39,54.6
7,40,57.56
7,41,60.85
7,42,64.13
7,43,67.96
7,44,70.88
7,45,73.46
7,46,75.91
7,47,78.51
7,48,81.07
7,49,84.96
7,50,86.25
7,51,87.66
7,52,88.65
7,53,89.81
7,54,91.18
7,55,92.77
7,56,93.55
7,57,94.26
7,58,94.88
7,59,95.6
7,60,96.23
7,61,97.39
7,62,97.62
7,63,97.89
7,64,98.07
7,65,98.28
7,66,98.58
7,67,98.91
7,68,99.04
7,69,99.16
7,70,99.25
7,71,99.38
7,72,99.5
7,73,99.68
7,74,99.7
7,75,99.74
7,76,99.76
7,77,99.79
7,78,99.83
7,79,99.88
7,80,99.89
7,81,99.9
7,82,99.91
7,83,99.93
7,84,99.94
7,85,99.96
7,86,99.96
7,87,99.96
7,88,99.96
7,89,99.96
7,90,99.97
7,91,99.97
7,92,99.97
7,93,99.97
7,94,99.97
7,95,99.97
7,96,99.97
7,97,99.98
7,98,99.98
7,99,99.98
7,100,99.98
6,1,0.0
6,2,0.0
6,3,0.01
6,4,0.04
6,5,0.04
6,6,0.0
6,7,0.01
6,8,0.03
6,9,0.07
6,10,0.12
6,11,0.21
6,12,0.34
6,13,0.8
6,14,1.32
6,15,1.74
6,16,2.46
6,17,3.4
6,18,4.61
6,19,6.52
6,20,8.39
6,21,10.63
6,22,13.23
6,23,16.21
6,24,19.3
6,25,25.47
6,26,29.42
6,27,33.0
6,28,36.63
6,29,40.69
6,30,44.87
6,31,50.47
6,32,54.07
6,33,57.8
6,34,61.29
6,35,64.91
6,36,67.8
6,37,74.62
6,38,76.78
6,39,78.76
6,40,80.44
6,41,82.35
6,42,84.33
6,43,87.02
6,44,88.44
6,45,89.66
6,46,90.81
6,47,92.15
6,48,93.49
6,49,95.45
6,50,95.94
6,51,96.37
6,52,96.67
6,53,96.67
6,54,97.6
6,55,98.21
6,56,98.41
6,57,98.6
6,58,98.76
6,59,98.97
6,60,99.13
6,61,99.5
6,62,99.54
6,63,99.59
6,64,99.62
6,65,99.66
6,66,99.73
6,67,99.81
6,68,99.83
6,69,99.85
6,70,99.86
6,71,99.89
6,72,99.91
6,73,99.94
6,74,99.94
6,75,99.95
6,76,99.95
6,77,99.95
6,78,99.96
6,79,99.97
6,80,99.97
6,81,99.97
6,82,99.97
6,83,99.97
6,84,99.97
6,85,99.97
6,86,99.97
6,87,99.97
6,88,99.97
6,89,99.97
6,90,99.98
6,91,99.98
6,92,99.98
6,93,99.98
6,94,99.98
6,95,99.98
6,96,99.98
6,97,99.98
6,98,99.98
6,99,99.98
6,100,99.98
5,1,0.0
5,2,0.0
5,3,0.06
5,4,0.18
5,5,0.2
5,6,0.03
5,7,0.12
5,8,0.34
5,9,0.74
5,10,1.38
5,11,2.26
5,12,3.35
5,13,7.28
5,14,9.15
5,15,10.64
5,16,13.19
5,17,16.15
5,18,19.64
5,19,25.3
5,20,29.72
5,21,34.62
5,22,39.52
5,23,44.54
5,24,48.68
5,25,57.36
5,26,61.35
5,27,64.62
5,28,67.66
5,29,70.93
5,30,74.69
5,31,79.7
5,32,81.43
5,33,83.24
5,34,84.9
5,35,86.69
5,36,88.05
5,37,92.36
5,38,93.07
5,39,93.63
5,40,94.17
5,41,94.79
5,42,95.58
5,43,96.88
5,44,97.24
5,45,97.55
5,46,97.86
5,47,98.29
5,48,98.71
5,49,99.25
5,50,99.31
5,51,99.38
5,52,99.42
5,53,99.48
5,54,99.6
5,55,99.74
5,56,99.76
5,57,99.79
5,58,99.81
5,59,99.84
5,60,99.87
5,61,99.93
5,62,99.93
5,63,99.93
5,64,99.94
5,65,99.94
5,66,99.95
5,67,99.96
5,68,99.96
5,69,99.96
5,70,99.96
5,71,99.97
5,72,99.97
5,73,99.97
5,74,99.97
5,75,99.97
5,76,99.97
5,77,99.97
5,78,99.97
5,79,99.98
5,80,99.98
5,81,99.98
5,82,99.98
5,83,99.98
5,84,99.98
5,85,99.98
5,86,99.98
5,87,99.98
5,88,99.98
5,89,99.98
5,90,99.98
5,91,99.98
5,92,99.98
5,93,99.98
5,94,99.98
5,95,99.98
5,96,99.98
5,97,99.98
5,98,99.98
5,99,99.98
5,100,99.98
4,1,2.55
4,2,2.55
4,3,2.62
4,4,2.62
4,5,2.62
4,6,2.75
4,7,3.23
4,8,4.29
4,9,6.17
4,10,9.39
4,11,13.45
4,12,18.21
4,13,35.23
4,14,37.73
4,15,39.95
4,16,44.27
4,17,48.39
4,18,52.84
4,19,60.19
4,20,65.23
4,21,70.85
4,22,75.22
4,23,79.71
4,24,81.8
4,25,86.88
4,26,87.87
4,27,88.75
4,28,89.67
4,29,90.78
4,30,92.77
4,31,95.54
4,32,95.82
